Village A,Village B,Village C,Village D,Village E
0.5789,0.5789,0.5789,0.5789,0.5789
0.19361,0.19361,0.19361,0.19361,0.19361
0.04384,0.04384,0.04384,0.04384,0.04384
0.07913,0.07913,0.07913,0.07913,0.07913
0.00704,0.00704,0.00704,0.00704,0.00704
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.03639,0.03639,0.03639,0.03639,0.03639
0.12415,0.12415,0.12415,0.12415,0.12415
0.32281,0.32281,0.32281,0.32281,0.32281
0.44378,0.44378,0.44378,0.44378,0.44378
0.46913,0.46913,0.46913,0.46913,0.46913
0.16161,0.16161,0.16161,0.16161,0.16161
0.07076,0.07076,0.07076,0.07076,0.07076
0.45212,0.45212,0.45212,0.45212,0.45212
0.42876,0.42876,0.42876,0.42876,0.42876
0.09926,0.09926,0.09926,0.09926,0.09926
0.17289,0.17289,0.17289,0.17289,0.17289
0.07912,0.07912,0.07912,0.07912,0.07912
0.00772,0.00772,0.00772,0.00772,0.00772
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.00369,0.00369,0.00369,0.00369,0.00369
0.03879,0.03879,0.03879,0.03879,0.03879
0.0737,0.0737,0.0737,0.0737,0.0737
0.10369,0.10369,0.10369,0.10369,0.10369
0.15727,0.15727,0.15727,0.15727,0.15727
0.23188,0.23188,0.23188,0.23188,0.23188
0.2752,0.2752,0.2752,0.2752,0.2752
0.22499,0.22499,0.22499,0.22499,0.22499
0.22933,0.22933,0.22933,0.22933,0.22933
0.13041,0.13041,0.13041,0.13041,0.13041
0.06131,0.06131,0.06131,0.06131,0.06131
0.02373,0.02373,0.02373,0.02373,0.02373
0.00131,0.00131,0.00131,0.00131,0.00131
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.04123,0.04123,0.04123,0.04123,0.04123
0.10676,0.10676,0.10676,0.10676,0.10676
0.19749,0.19749,0.19749,0.19749,0.19749
0.37974,0.37974,0.37974,0.37974,0.37974
0.52674,0.52674,0.52674,0.52674,0.52674
0.62701,0.62701,0.62701,0.62701,0.62701
0.57693,0.57693,0.57693,0.57693,0.57693
0.41564,0.41564,0.41564,0.41564,0.41564
0.40137,0.40137,0.40137,0.40137,0.40137
0.34813,0.34813,0.34813,0.34813,0.34813
0.26106,0.26106,0.26106,0.26106,0.26106
0.07214,0.07214,0.07214,0.07214,0.07214
0.00863,0.00863,0.00863,0.00863,0.00863
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.03867,0.03867,0.03867,0.03867,0.03867
0.12548,0.12548,0.12548,0.12548,0.12548
0.25202,0.25202,0.25202,0.25202,0.25202
0.30359,0.30359,0.30359,0.30359,0.30359
0.51095,0.51095,0.51095,0.51095,0.51095
0.66111,0.66111,0.66111,0.66111,0.66111
0.68476,0.68476,0.68476,0.68476,0.68476
0.64211,0.64211,0.64211,0.64211,0.64211
0.50932,0.50932,0.50932,0.50932,0.50932
0.39373,0.39373,0.39373,0.39373,0.39373
0.27204,0.27204,0.27204,0.27204,0.27204
0.05738,0.05738,0.05738,0.05738,0.05738
0.01012,0.01012,0.01012,0.01012,0.01012
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.04031,0.04031,0.04031,0.04031,0.04031
0.17059,0.17059,0.17059,0.17059,0.17059
0.18663,0.18663,0.18663,0.18663,0.18663
0.25566,0.25566,0.25566,0.25566,0.25566
0.33508,0.33508,0.33508,0.33508,0.33508
0.2807,0.2807,0.2807,0.2807,0.2807
0.14271,0.14271,0.14271,0.14271,0.14271
0.11763,0.11763,0.11763,0.11763,0.11763
0.17371,0.17371,0.17371,0.17371,0.17371
0.09722,0.09722,0.09722,0.09722,0.09722
0.08229,0.08229,0.08229,0.08229,0.08229
0.10901,0.10901,0.10901,0.10901,0.10901
0.00632,0.00632,0.00632,0.00632,0.00632
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0372,0.0372,0.0372,0.0372,0.0372
0.17056,0.17056,0.17056,0.17056,0.17056
0.36117,0.36117,0.36117,0.36117,0.36117
0.42469,0.42469,0.42469,0.42469,0.42469
0.59863,0.59863,0.59863,0.59863,0.59863
0.63982,0.63982,0.63982,0.63982,0.63982
0.53956,0.53956,0.53956,0.53956,0.53956
0.49025,0.49025,0.49025,0.49025,0.49025
0.37029,0.37029,0.37029,0.37029,0.37029
0.15485,0.15485,0.15485,0.15485,0.15485
0.16615,0.16615,0.16615,0.16615,0.16615
0.0628,0.0628,0.0628,0.0628,0.0628
0.00901,0.00901,0.00901,0.00901,0.00901
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0326,0.0326,0.0326,0.0326,0.0326
0.20561,0.20561,0.20561,0.20561,0.20561
0.35879,0.35879,0.35879,0.35879,0.35879
0.55976,0.55976,0.55976,0.55976,0.55976
0.70041,0.70041,0.70041,0.70041,0.70041
0.76654,0.76654,0.76654,0.76654,0.76654
0.77962,0.77962,0.77962,0.77962,0.77962
0.74157,0.74157,0.74157,0.74157,0.74157
0.65273,0.65273,0.65273,0.65273,0.65273
0.51213,0.51213,0.51213,0.51213,0.51213
0.32576,0.32576,0.32576,0.32576,0.32576
0.11999,0.11999,0.11999,0.11999,0.11999
0.01094,0.01094,0.01094,0.01094,0.01094
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.02889,0.02889,0.02889,0.02889,0.02889
